2019-04-08 21:00:47 configure perl-base:arm64 5.26.1-6 5.26.1-6
2019-04-08 21:00:47 status unpacked perl-base:arm64 5.26.1-6
2019-04-08 21:00:47 status half-configured perl-base:arm64 5.26.1-6
2019-04-08 21:00:47 status installed perl-base:arm64 5.26.1-6
2019-04-08 21:00:47 startup archives install
2019-04-08 21:00:47 install mawk:arm64 <none> 1.3.3-17ubuntu3
2019-04-08 21:00:47 status half-installed mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:47 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:47 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:47 configure mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-04-08 21:00:47 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:47 status half-configured mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:47 status installed mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:47 startup archives unpack
2019-04-08 21:00:47 upgrade base-files:arm64 10.1ubuntu2 10.1ubuntu2
2019-04-08 21:00:47 status half-configured base-files:arm64 10.1ubuntu2
2019-04-08 21:00:47 status unpacked base-files:arm64 10.1ubuntu2
2019-04-08 21:00:47 status half-installed base-files:arm64 10.1ubuntu2
2019-04-08 21:00:47 status half-installed base-files:arm64 10.1ubuntu2
2019-04-08 21:00:47 status unpacked base-files:arm64 10.1ubuntu2
2019-04-08 21:00:47 status unpacked base-files:arm64 10.1ubuntu2
2019-04-08 21:00:47 upgrade base-passwd:arm64 3.5.44 3.5.44
2019-04-08 21:00:47 status half-configured base-passwd:arm64 3.5.44
2019-04-08 21:00:47 status unpacked base-passwd:arm64 3.5.44
2019-04-08 21:00:47 status half-installed base-passwd:arm64 3.5.44
2019-04-08 21:00:47 status half-installed base-passwd:arm64 3.5.44
2019-04-08 21:00:47 status unpacked base-passwd:arm64 3.5.44
2019-04-08 21:00:47 status unpacked base-passwd:arm64 3.5.44
2019-04-08 21:00:47 install bash:arm64 <none> 4.4.18-2ubuntu1
2019-04-08 21:00:47 status half-installed bash:arm64 4.4.18-2ubuntu1
2019-04-08 21:00:47 status unpacked bash:arm64 4.4.18-2ubuntu1
2019-04-08 21:00:48 status unpacked bash:arm64 4.4.18-2ubuntu1
2019-04-08 21:00:48 install bsdutils:arm64 <none> 1:2.31.1-0.4ubuntu3
2019-04-08 21:00:48 status half-installed bsdutils:arm64 1:2.31.1-0.4ubuntu3
2019-04-08 21:00:48 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2019-04-08 21:00:48 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2019-04-08 21:00:48 install coreutils:arm64 <none> 8.28-1ubuntu1
2019-04-08 21:00:48 status half-installed coreutils:arm64 8.28-1ubuntu1
2019-04-08 21:00:48 status unpacked coreutils:arm64 8.28-1ubuntu1
